66,171,5292,23,857,1989,1
81,172,242,22,1303,0,0
81,172,182,22,1376,0,0
176,74,1252,21,595,1986,1
216,502,2773,21,636,1983,1
35,2,2431,21,964,0,0
331,28,2967,20,612,1970,2
344,299,5498,20,984,1966,1
36,43,2741,20,1093,0,0
36,43,561,20,1091,0,0
110,142,141,19,296,1986,1
434,129,2333,19,647,1992,2
220,156,2040,19,182,1992,1
62,255,3307,19,415,1979,1
108,241,3916,19,267,1989,1
205,129,2954,19,235,1982,2
24,161,2055,18,269,1981,1
89,108,5171,18,401,1990,1
305,210,5867,18,348,1990,1
145,199,3453,18,237,0,0
173,337,986,18,565,1983,1
426,419,3139,18,779,1997,1
225,199,4164,18,1062,0,1
59,273,5536,18,347,1983,1
89,181,4725,18,697,1987,1
25,199,4408,18,378,1990,1
33,35,5634,18,915,1982,1
349,67,5232,18,185,1997,1
176,359,4822,18,271,0,0
176,359,4566,18,277,1970,1
399,397,4401,17,193,1963,1
37,77,1183,17,713,1962,1
110,176,1538,17,505,0,1
141,343,2786,17,868,1958,2
423,248,4060,17,178,1980,1
181,84,858,17,338,1986,2
133,217,4503,17,529,1985,1
175,41,3543,17,129,1975,1
88,300,5495,17,1776,1955,1
61,60,4694,17,596,1993,1
242,464,3120,17,265,1973,1
51,74,5534,17,424,1973,1
285,130,2159,17,465,1987,1
192,110,2345,17,739,0,1
233,192,1777,17,336,1993,1
294,463,4480,17,178,1982,2
96,88,5780,17,281,1973,1
75,77,3242,17,1419,1987,1
420,426,3425,17,327,1954,1
66,66,3444,17,3261,0,0
414,191,4822,16,379,1970,1
69,219,2577,16,177,1978,1
69,159,884,16,172,1991,2
49,174,2629,16,249,1975,1
87,127,94,16,230,1988,2
195,44,206,16,277,1962,1
194,59,1236,16,747,1980,1
344,462,1068,16,299,1982,1
305,182,5904,16,1056,1989,1
3,145,4707,16,2065,0,0
117,499,2447,16,1297,1986,1
3,145,2150,16,2120,0,0
125,50,2016,15,654,1968,1
3,342,1521,15,4846,0,0
325,344,5594,15,206,1990,1
3,342,4891,15,4863,0,0
40,346,1871,15,607,1975,1
3,342,2465,15,4875,0,0
112,499,3386,15,2744,1994,2
170,120,2346,15,301,1977,1
76,3,2465,14,369,0,0
74,133,3453,14,149,1981,2
21,202,2438,14,758,1995,1
50,26,4784,14,578,1994,1
106,75,2571,14,1086,1958,1
191,94,5742,14,1180,1978,1
77,59,2641,14,666,1989,1
211,192,2941,14,865,1959,1
359,211,474,13,641,1990,1
211,176,1542,13,392,1990,1
320,32,5385,13,195,1967,1
81,286,4994,13,366,1986,1
66,191,5742,13,206,1985,1
197,195,3841,13,284,1987,1
402,262,3489,13,541,1988,1
123,260,1733,13,404,1992,1
96,233,694,13,196,1942,1
532,609,4578,13,610,1990,1
283,91,2980,13,342,1983,1
300,88,1256,13,1608,1955,1
609,532,4578,12,623,1990,1
52,39,3911,12,20221,1971,1
17,69,5241,12,317,1974,1
98,50,5078,12,243,1984,1
486,227,2358,12,658,0,1
349,141,1963,12,467,0,2
227,314,1304,12,537,1992,2
48,359,4783,12,176,1987,1
138,113,5471,12,683,1987,1
181,264,713,12,388,1978,1
611,615,2283,12,542,0,0
413,420,4753,12,734,1986,2
337,211,3871,12,400,1977,1
346,49,142,12,744,1963,1
77,202,2646,12,867,1984,1
241,32,1925,12,297,1990,1
4,39,2334,12,859,1987,2
35,62,1354,11,1646,1987,2
322,121,2585,11,200,1989,1
286,49,3632,11,195,1977,1
315,91,1646,11,894,1970,1
100,66,1408,11,266,1989,1
4,7,5106,11,1195,1980,1
340,117,5368,10,427,1980,1
456,458,5097,10,408,1974,1
364,47,3749,10,519,1977,2
459,344,3122,10,872,1965,1
52,100,512,10,760,1981,1
460,465,202,10,607,1988,2
359,100,2396,10,391,1979,1
277,199,1904,10,710,1989,1
240,117,2017,10,395,1982,1
76,97,3733,10,612,0,0
76,97,5266,10,627,0,0
292,314,2961,10,215,1984,1
36,134,3943,10,411,1961,1
343,85,5194,10,991,1978,1
260,258,3596,10,524,1981,1
6,6,4063,10,634,1964,2
303,231,5499,10,752,1950,1
6,6,889,10,616,1990,2
283,211,1082,10,867,1953,1
68,75,5732,10,107,1959,1
328,328,4568,9,541,0,2
190,166,3378,9,147,1989,1
320,342,357,9,315,0,1
61,125,5283,9,1111,1991,1
327,94,5862,9,616,1974,2
170,174,1036,9,761,1982,1
321,169,3670,9,427,1953,1
212,47,1222,9,434,1980,2
190,327,510,9,619,1945,1
94,118,527,9,232,1985,1
342,21,5704,9,540,1982,2
283,52,3880,9,316,1990,1
48,198,4783,9,646,1987,1
46,106,1602,9,549,1956,2
194,211,3835,9,363,1979,1
181,85,633,9,359,1977,1
149,184,3532,9,244,1986,1
56,133,1675,9,152,1993,1
213,69,3987,9,103,1989,1
27,48,5487,9,322,1976,1
18,51,1822,9,228,1963,2
51,181,1305,9,215,1991,1
293,311,2592,9,769,1982,2
138,143,947,9,476,1992,1
210,107,4477,9,866,1990,1
57,55,5330,9,224,1985,1
15,241,4090,9,479,1970,1
451,454,1341,9,254,1991,1
93,144,4002,9,316,1977,1
476,469,263,9,606,1982,1
349,319,1966,9,591,1972,1
23,194,4164,8,676,1991,1
48,286,2308,8,1017,1962,1
53,161,3357,8,351,1987,2
43,51,2593,8,291,1981,2
77,112,3077,8,251,1989,2
126,40,2802,8,1590,1969,1
96,36,3933,8,353,1976,1
350,133,3912,8,640,1978,1
72,197,464,8,872,1969,2
117,230,1038,8,468,1988,1
273,287,5282,8,739,1980,1
94,60,3928,8,435,0,1
310,327,5467,8,747,1970,1
190,327,627,8,492,1967,1
347,244,296,8,209,1978,1
286,81,2327,8,415,0,2
405,278,5848,8,183,0,0
91,88,4159,8,516,1988,1
77,40,5276,8,336,1967,1
177,334,1771,8,673,1977,1
91,264,5325,8,564,1978,1
130,331,3914,8,669,1983,1
296,254,4646,8,612,1992,2
33,321,1459,8,218,1992,1
216,29,2691,8,676,1983,1
149,148,1934,8,277,0,2
394,287,5802,8,413,1987,1
394,44,2211,8,573,1988,1
394,44,5675,8,571,1989,1
340,13,3211,8,316,1989,2
22,77,4387,8,736,1989,1
2,90,99,8,394,1975,2
152,327,1897,8,335,1966,1
255,173,4593,8,918,1981,2
69,81,459,8,1533,1988,1
204,422,4755,8,296,1987,1
7,100,4268,8,782,0,0
195,194,3475,7,204,1989,2
153,219,2859,7,658,1987,1
154,117,2608,7,233,1986,1
176,31,2884,7,358,1993,1
88,91,4860,7,346,1978,1
234,238,4571,7,183,1985,1
300,115,2942,7,232,1989,1
620,53,3153,7,202,1980,1
223,152,4479,7,446,1984,1
324,143,5780,7,334,1980,2
52,142,1372,7,370,1988,2
478,600,1009,7,2473,1987,2
176,364,3749,7,349,1989,1
198,192,691,7,229,1968,1
234,238,5525,7,177,1987,1
374,213,4289,7,364,1981,1
146,283,21,7,970,1975,1
597,605,3352,7,844,1976,1
276,116,621,7,306,1974,1
291,289,5078,6,14401,1985,2
156,115,1106,6,125,1985,1
13,67,3616,6,193,1992,1
9,146,4815,6,1730,1973,2
58,225,350,6,460,1980,1
338,72,3967,6,204,1975,1
232,114,3201,6,261,1956,2
131,117,4577,6,315,1980,2
186,198,5378,5,433,1984,1
233,211,5020,5,900,1973,1
522,597,3352,5,542,1969,1
75,66,5536,5,251,1976,1
59,108,4224,4,709,1991,1
148,149,1934,2,360,0,0
321,59,5813,1,212,1992,1
364,36,5451,1,974,1958,1
260,490,3184,0,533,1982,1
520,523,4440,0,296,1968,1
213,260,4423,0,831,1987,2
213,260,2829,0,851,1982,1
125,35,4768,0,423,0,0
172,331,4452,0,509,1979,1
349,190,3248,0,371,1992,1
